date,puissance
2016-09-19 17:00:00+02:00,482.18888888893326
2016-09-19 18:00:00+02:00,496.51111111106667
2016-09-19 19:00:00+02:00,513.8388888888667
2016-09-19 20:00:00+02:00,504.1888888889
2016-09-19 21:00:00+02:00,509.01666666660003
2016-09-19 22:00:00+02:00,617.4000000000334
2016-09-19 23:00:00+02:00,557.7333333332667
2016-09-20 00:00:00+02:00,475.22222222226657
2016-09-20 01:00:00+02:00,430.8277777777334
2016-09-20 02:00:00+02:00,399.98888888896664
2016-09-20 03:00:00+02:00,402.01666666676664
2016-09-20 04:00:00+02:00,398.8277777778
2016-09-20 05:00:00+02:00,327.588888889
2016-09-20 06:00:00+02:00,316.13333333336664
2016-09-20 07:00:00+02:00,363.9999999999
2016-09-20 08:00:00+02:00,427.9222222222667
2016-09-20 09:00:00+02:00,470.97222222220006
2016-09-20 10:00:00+02:00,508.26111111103336
2016-09-20 11:00:00+02:00,549.9888888889
2016-09-20 12:00:00+02:00,579.1
2016-09-20 13:00:00+02:00,601.3055555554666
2016-09-20 14:00:00+02:00,612.0777777778
2016-09-20 15:00:00+02:00,595.7944444443667
2016-09-20 16:00:00+02:00,539.4222222222
2016-09-20 17:00:00+02:00,480.26111111116666
2016-09-20 18:00:00+02:00,486.7944444444667
2016-09-20 19:00:00+02:00,498.7666666667333
2016-09-20 20:00:00+02:00,504.2055555555333
2016-09-20 21:00:00+02:00,520.0333333333333
2016-09-20 22:00:00+02:00,611.0944444445666
2016-09-20 23:00:00+02:00,557.5166666666668
